DATE,ND000334Q
2002-01-01,3501.118
2002-04-01,3608.496
2002-07-01,3650.253
2002-10-01,3712.845
2003-01-01,3582.767
2003-04-01,3680.929
2003-07-01,3753.431
2003-10-01,3860.185
2004-01-01,3741.64
2004-04-01,3837.587
2004-07-01,3879.617
2004-10-01,3990.913
2005-01-01,3867.076
2005-04-01,3972.818
2005-07-01,4040.686
2005-10-01,4107.378
2006-01-01,4003.482
2006-04-01,4116.718
2006-07-01,4111.947
2006-10-01,4201.0
2007-01-01,4063.753
2007-04-01,4184.414
2007-07-01,4208.612
2007-10-01,4305.666
2008-01-01,4182.537
2008-04-01,4226.589
2008-07-01,4192.399
2008-10-01,4179.959
2009-01-01,3976.808
2009-04-01,4060.384
2009-07-01,4102.854
2009-10-01,4209.064
2010-01-01,4055.062
2010-04-01,4188.706
2010-07-01,4229.41
2010-10-01,4316.573
2011-01-01,4155.635
2011-04-01,4251.8
2011-07-01,4273.162
2011-10-01,4371.813
2012-01-01,4279.816
2012-04-01,4345.706
2012-07-01,4376.682
2012-10-01,4440.555
2013-01-01,4320.262
2013-04-01,4419.14
2013-07-01,4486.445
2013-10-01,4586.321
2014-01-01,4403.178
2014-04-01,4532.342
2014-07-01,4616.61
2014-10-01,4709.584
2015-01-01,4562.381
2015-04-01,4696.817
2015-07-01,4741.07
2015-10-01,4799.354
2016-01-01,4641.851
2016-04-01,4768.308
2016-07-01,4819.182
2016-10-01,4912.331
2017-01-01,4698.367
2017-04-01,4893.234
2017-07-01,4950.878
2017-10-01,5069.624
2018-01-01,4890.817
2018-04-01,5039.983
2018-07-01,5092.532
2018-10-01,5170.563
2019-01-01,4968.926
2019-04-01,5157.365
2019-07-01,5223.895
2019-10-01,5341.901
2020-01-01,5044.763
2020-04-01,4773.286
2020-07-01,5129.12
2020-10-01,5286.905
2021-01-01,5116.102
2021-04-01,5337.036
2021-07-01,5386.212
2021-10-01,5568.342
2022-01-01,5303.774
2022-04-01,5434.749
2022-07-01,5487.022
2022-10-01,5596.492
2023-01-01,5415.443
2023-04-01,5569.469
2023-07-01,5642.697
2023-10-01,5761.525
2024-01-01,5573.099
2024-04-01,5737.189
